pH,tds,turbidity,bod,cod,temperature,heavy_metals,intended_reuse,recipe_class,alum_dose,polymer_dose,chlorine_dose,antiscalant_dose
5.66,2693,39,42,759,35,1,Washing,recipe_3,44.84,1.22,3.4,3.47
5.7,1558,111,42,695,28,0,Irrigation,recipe_3,52.93,1.79,3.35,3.44
7.23,804,149,177,152,32,1,Industrial,recipe_3,50.74,1.31,3.42,3.69
8.51,597,59,154,360,33,1,Cooling,recipe_3,47.89,1.54,3.86,4.65
8.0,2025,100,101,601,22,1,Irrigation,recipe_3,42.66,1.51,4.68,3.95
6.64,619,109,258,69,24,1,Irrigation,recipe_3,43.16,1.6,3.73,3.54
8.88,1842,124,253,695,35,1,Washing,recipe_3,51.47,1.44,3.45,4.44
7.68,2381,9,361,169,32,0,Irrigation,recipe_3,51.27,1.5,3.42,3.59
7.95,1849,84,248,354,32,1,Industrial,recipe_3,47.68,1.53,3.24,4.41
5.24,2780,77,234,680,32,1,Construction,recipe_3,53.5,1.6,4.5,4.4
5.82,662,46,245,773,39,1,Washing,recipe_3,49.84,1.32,3.84,4.59
6.66,219,164,309,495,33,0,Cooling,recipe_3,36.43,1.74,3.26,4.59
6.77,1287,125,157,629,21,1,Cooling,recipe_3,43.22,1.6,3.24,3.78
7.22,1282,37,187,491,21,1,Construction,recipe_3,42.87,1.79,4.32,4.03
5.72,1918,129,197,126,17,1,Washing,recipe_3,44.64,1.58,3.68,4.47
7.42,1767,173,380,555,21,1,Industrial,recipe_3,52.82,1.75,3.3,3.46
8.11,342,173,139,321,33,0,Industrial,recipe_4,9.84,0.19,1.78,2.44
6.23,2808,13,378,703,15,1,Industrial,recipe_3,38.66,1.67,3.59,3.73
8.77,1315,98,100,660,19,0,Irrigation,recipe_3,48.61,1.57,4.71,3.55
8.31,447,19,357,127,37,0,Industrial,recipe_2,29.3,1.1,2.96,0.0
7.5,2552,200,191,281,25,0,Cooling,recipe_3,47.52,1.65,3.32,4.76
6.75,2800,139,200,597,26,0,Washing,recipe_3,41.0,1.44,3.46,3.9
8.41,2139,175,206,723,29,0,Washing,recipe_3,46.32,1.68,4.0,4.72
7.78,2221,12,145,258,26,0,Construction,recipe_4,11.57,0.22,2.39,2.59
7.39,1394,193,311,588,28,1,Irrigation,recipe_3,39.63,1.47,4.57,3.5
5.52,1236,93,387,790,26,0,Washing,recipe_3,51.57,1.67,3.54,3.36
8.68,709,125,214,743,17,1,Washing,recipe_3,40.15,1.7,3.76,3.78
6.7,2229,190,76,789,39,0,Industrial,recipe_3,38.3,1.58,4.02,4.32
5.03,2278,184,365,342,25,0,Cooling,recipe_3,40.51,1.79,3.32,3.56
6.04,2777,8,50,683,39,0,Irrigation,recipe_3,49.78,1.32,3.84,4.26
7.11,2451,83,262,731,31,0,Washing,recipe_3,40.06,1.24,4.45,3.27
5.7,442,190,356,595,35,1,Irrigation,recipe_3,52.24,1.36,4.45,4.78
7.44,1250,61,372,616,39,0,Irrigation,recipe_3,46.45,1.67,4.38,3.63
6.58,2897,200,180,333,32,0,Irrigation,recipe_3,50.23,1.78,3.33,4.34
8.6,2856,47,158,254,19,0,Industrial,recipe_3,37.89,1.2,4.71,4.28
8.9,1472,155,131,95,34,0,Cooling,recipe_3,49.17,1.71,3.7,3.94
6.2,2215,128,201,435,27,0,Construction,recipe_3,45.07,1.51,4.37,4.63
6.67,1281,196,367,755,38,1,Construction,recipe_3,52.53,1.41,3.87,4.11
6.45,2949,180,236,596,15,1,Industrial,recipe_3,52.26,1.65,4.63,4.48
7.71,1763,130,318,176,26,1,Industrial,recipe_3,50.16,1.57,3.63,4.32
6.33,2606,131,179,633,25,0,Cooling,recipe_3,50.65,1.78,3.8,3.63
5.89,1946,146,303,608,20,0,Irrigation,recipe_3,51.99,1.4,4.4,4.03
5.93,583,89,394,449,39,0,Cooling,recipe_3,47.66,1.24,4.45,4.57
6.49,655,33,365,646,24,0,Washing,recipe_3,37.45,1.62,3.68,3.9
6.64,1490,190,81,621,30,1,Cooling,recipe_3,52.28,1.31,3.4,3.8
5.98,208,7,90,81,27,1,Industrial,recipe_4,9.85,0.18,2.02,3.15
7.63,740,167,58,552,15,1,Cooling,recipe_3,45.46,1.46,3.57,4.09
7.31,1999,145,373,237,32,0,Construction,recipe_3,36.14,1.33,4.09,3.22
6.04,928,171,31,427,15,1,Cooling,recipe_3,46.31,1.21,4.78,3.79
8.06,1741,145,354,572,34,0,Industrial,recipe_3,46.82,1.51,4.34,4.68
8.43,1887,14,277,726,20,0,Construction,recipe_3,40.78,1.49,3.55,3.64
6.21,1939,46,277,290,22,0,Cooling,recipe_3,50.82,1.46,4.37,3.85
6.93,2875,77,296,225,39,1,Cooling,recipe_3,50.54,1.2,3.31,3.29
5.23,2802,35,95,597,28,0,Irrigation,recipe_3,40.29,1.79,4.71,4.06
7.98,1017,39,241,794,40,0,Washing,recipe_3,36.7,1.35,4.26,4.0
7.06,2096,7,362,555,34,0,Industrial,recipe_3,44.21,1.57,4.39,4.7
8.34,2914,96,97,698,28,0,Irrigation,recipe_3,52.65,1.74,3.51,3.61
6.2,1360,4,339,487,31,1,Industrial,recipe_3,47.94,1.77,3.58,3.32
7.43,2591,88,170,468,23,1,Irrigation,recipe_3,46.17,1.58,4.43,3.43
5.28,2358,106,171,745,35,0,Industrial,recipe_3,39.39,1.64,3.8,3.27
7.69,1335,76,220,584,30,1,Irrigation,recipe_3,36.52,1.58,4.11,3.69
5.02,2711,52,204,486,23,1,Construction,recipe_3,49.28,1.7,3.84,4.21
7.51,1722,142,180,696,28,0,Industrial,recipe_3,46.77,1.5,4.08,3.99
7.44,501,80,89,466,34,0,Cooling,recipe_2,39.77,0.93,2.44,0.0
6.66,525,96,198,494,27,0,Construction,recipe_4,8.62,0.2,1.84,3.39
6.59,2508,105,345,587,22,0,Cooling,recipe_3,41.42,1.47,3.55,3.46
7.79,1443,125,79,137,26,0,Cooling,recipe_4,11.12,0.23,2.02,2.74
6.62,880,190,371,91,37,0,Irrigation,recipe_3,44.0,1.38,3.95,4.4
7.19,2442,4,31,306,18,0,Construction,recipe_2,28.37,0.83,3.07,0.0
5.78,1719,105,127,444,30,1,Industrial,recipe_3,41.07,1.58,4.17,3.48
7.27,2149,52,220,112,18,0,Cooling,recipe_2,33.96,1.12,2.67,0.0
5.32,2848,13,53,292,29,0,Washing,recipe_3,52.0,1.51,3.6,4.06
8.38,421,56,69,263,40,1,Construction,recipe_3,50.71,1.72,3.26,3.35
6.31,1326,119,297,57,15,1,Cooling,recipe_3,42.7,1.51,3.4,4.54
7.56,434,10,179,44,29,1,Construction,recipe_4,8.5,0.16,1.84,2.67
6.38,2431,164,361,515,33,0,Industrial,recipe_3,47.1,1.76,3.91,4.46
5.98,1082,5,309,445,23,0,Construction,recipe_3,49.08,1.75,4.58,4.76
5.93,546,120,398,401,19,0,Irrigation,recipe_3,37.31,1.31,3.73,3.94
5.24,2519,188,20,306,19,1,Cooling,recipe_3,37.97,1.33,3.79,4.03
8.43,2414,84,353,530,40,0,Cooling,recipe_3,39.24,1.22,3.74,3.28
7.9,956,140,206,710,21,1,Irrigation,recipe_3,42.94,1.71,3.62,3.75
6.52,2305,15,257,117,35,1,Washing,recipe_3,45.88,1.24,4.47,3.63
6.84,2212,195,269,554,34,1,Industrial,recipe_3,48.34,1.54,4.24,4.32
5.43,2826,115,10,420,31,0,Cooling,recipe_3,49.94,1.34,4.1,3.8
7.58,850,144,355,489,23,1,Industrial,recipe_3,42.77,1.38,4.79,4.45
8.26,891,62,128,134,32,0,Industrial,recipe_2,32.15,1.18,2.84,0.0
8.95,2908,164,17,464,25,0,Cooling,recipe_3,39.4,1.68,4.76,4.07
6.52,2350,85,334,750,37,0,Washing,recipe_3,41.37,1.24,4.1,4.03
5.32,696,119,178,299,29,0,Irrigation,recipe_3,40.95,1.53,4.07,3.83
5.87,205,121,181,404,25,0,Construction,recipe_2,41.25,0.87,3.45,0.0
7.45,1666,116,254,639,26,1,Washing,recipe_3,45.03,1.53,3.7,3.45
8.63,2618,53,114,93,27,1,Cooling,recipe_3,50.47,1.29,3.26,4.15
5.37,1331,86,90,746,35,1,Washing,recipe_3,43.24,1.27,4.65,3.46
6.78,905,190,123,470,25,1,Construction,recipe_3,50.73,1.37,3.53,4.53
5.04,1420,158,159,798,17,1,Construction,recipe_3,51.76,1.44,4.37,3.58
7.97,809,102,344,638,23,1,Irrigation,recipe_3,37.57,1.35,4.09,3.56
5.43,730,78,39,368,36,0,Industrial,recipe_2,37.06,1.03,3.28,0.0
8.61,307,136,397,573,32,0,Industrial,recipe_3,48.46,1.63,4.25,3.45
8.6,922,164,392,587,15,0,Cooling,recipe_3,42.6,1.48,3.78,3.63
5.91,324,98,164,404,23,1,Cooling,recipe_3,42.79,1.69,3.32,4.63
5.87,1761,146,361,389,32,0,Industrial,recipe_3,51.23,1.31,3.76,3.82
6.13,2410,94,160,669,16,0,Cooling,recipe_3,47.97,1.72,3.64,3.58
5.6,1126,196,194,34,31,1,Irrigation,recipe_3,41.13,1.55,4.38,3.36
5.95,334,130,79,726,20,0,Cooling,recipe_3,45.5,1.44,4.15,3.32
8.56,1768,87,227,129,21,1,Construction,recipe_3,38.79,1.79,4.62,4.75
8.62,2876,167,130,575,39,0,Industrial,recipe_3,45.6,1.23,4.09,4.38
8.21,584,130,173,270,32,0,Washing,recipe_2,34.34,0.98,2.47,0.0
7.86,2438,24,271,186,24,1,Industrial,recipe_3,45.59,1.49,3.62,3.69
7.98,2286,82,307,751,25,0,Industrial,recipe_3,48.44,1.79,3.55,3.37
7.33,1941,146,301,466,29,0,Construction,recipe_3,48.91,1.74,4.58,3.88
7.75,2458,104,123,327,34,1,Industrial,recipe_3,38.21,1.32,4.45,4.3
8.75,1173,16,250,709,38,1,Irrigation,recipe_3,52.75,1.66,3.38,3.85
8.14,1252,112,79,703,38,1,Washing,recipe_3,48.67,1.51,3.59,4.59
8.79,2628,90,138,298,15,1,Construction,recipe_3,51.52,1.7,3.57,4.59
5.14,868,171,212,386,25,0,Industrial,recipe_3,48.03,1.38,3.31,4.25
6.43,933,36,215,572,26,1,Construction,recipe_3,41.03,1.56,4.51,3.26
7.66,1767,53,239,208,30,1,Construction,recipe_3,36.27,1.33,4.59,3.68
7.59,1718,119,316,448,15,0,Washing,recipe_3,49.62,1.73,3.95,4.08
5.71,2528,133,79,448,21,0,Irrigation,recipe_3,47.76,1.41,3.94,3.84
5.7,1914,37,374,488,29,1,Cooling,recipe_3,41.06,1.67,3.99,4.2
7.13,1976,120,40,92,36,0,Construction,recipe_4,10.08,0.17,2.22,2.92
5.36,1244,81,358,205,19,0,Construction,recipe_3,48.77,1.31,4.35,3.59
6.87,1830,65,148,31,39,1,Cooling,recipe_3,41.59,1.75,3.74,3.31
6.12,885,137,50,799,30,1,Construction,recipe_3,48.13,1.77,4.36,3.63
8.88,1698,197,110,154,36,0,Washing,recipe_3,38.8,1.7,3.35,3.43
7.54,238,69,140,518,37,0,Irrigation,recipe_4,8.34,0.17,1.62,3.41
5.48,2000,174,13,229,18,1,Construction,recipe_3,36.13,1.5,3.53,3.52
7.46,231,116,98,363,20,1,Washing,recipe_3,40.52,1.3,4.25,3.95
6.11,2690,123,123,787,20,1,Industrial,recipe_3,36.9,1.28,3.49,4.22
8.16,381,87,82,352,17,0,Cooling,recipe_2,39.72,1.16,2.67,0.0
5.1,2843,35,128,603,37,1,Industrial,recipe_3,52.92,1.51,4.4,4.4
7.11,2299,103,55,663,19,0,Cooling,recipe_3,51.45,1.25,3.53,4.13
7.09,845,38,381,650,38,0,Construction,recipe_3,47.57,1.73,3.64,3.26
6.78,976,139,47,431,28,1,Construction,recipe_3,37.04,1.68,3.4,3.51
7.2,2668,124,123,539,26,1,Cooling,recipe_3,52.19,1.45,3.94,4.07
8.8,2785,149,307,329,29,1,Industrial,recipe_3,40.83,1.64,4.08,3.63
8.3,343,59,395,180,32,0,Cooling,recipe_3,36.58,1.37,3.92,4.6
5.23,1095,63,105,285,32,1,Washing,recipe_3,52.47,1.6,4.79,3.3
5.53,852,101,315,272,16,1,Construction,recipe_3,40.75,1.44,4.11,4.66
7.69,1105,197,11,185,23,0,Construction,recipe_2,37.96,1.04,3.15,0.0
7.55,1850,147,161,451,32,1,Irrigation,recipe_3,53.86,1.42,3.74,4.25
8.87,1798,121,327,399,23,1,Irrigation,recipe_3,39.4,1.26,4.38,3.75
6.83,387,2,155,110,19,0,Irrigation,recipe_1,20.23,0.48,2.29,0.0
8.4,872,75,347,636,35,0,Irrigation,recipe_3,41.88,1.63,4.19,4.7
5.45,298,41,164,751,34,0,Industrial,recipe_3,38.92,1.68,4.74,3.8
7.42,880,152,311,759,21,1,Irrigation,recipe_3,48.39,1.7,3.61,4.06
6.36,2417,143,220,359,20,0,Washing,recipe_3,48.38,1.37,4.14,3.72
6.26,2528,76,288,132,29,0,Irrigation,recipe_3,44.18,1.26,3.83,3.92
7.08,2308,188,116,98,35,1,Irrigation,recipe_3,40.3,1.76,3.3,3.8
8.42,1661,84,198,532,19,1,Industrial,recipe_3,36.36,1.28,4.45,3.6
6.5,817,65,378,278,32,0,Irrigation,recipe_3,36.15,1.3,3.99,4.26
6.15,897,179,325,310,26,1,Washing,recipe_3,49.14,1.45,3.94,4.4
7.14,446,13,297,673,18,1,Industrial,recipe_3,53.31,1.41,4.08,3.57
5.08,2391,186,118,234,20,1,Industrial,recipe_3,49.93,1.36,3.85,4.17
8.74,1605,44,58,743,30,0,Washing,recipe_3,41.26,1.73,3.58,4.6
5.69,2878,22,236,441,31,0,Construction,recipe_3,45.46,1.29,3.4,3.63
7.65,2740,25,206,45,24,1,Washing,recipe_3,42.86,1.67,3.88,3.28
5.04,607,41,311,401,39,0,Irrigation,recipe_3,51.61,1.28,4.34,4.19
7.33,2440,96,300,464,36,0,Irrigation,recipe_3,47.51,1.79,3.87,4.09
8.11,240,85,246,194,25,0,Cooling,recipe_2,34.15,1.04,3.3,0.0
5.3,1073,200,317,130,35,0,Cooling,recipe_3,47.5,1.61,3.56,3.49
5.87,1256,25,287,61,26,1,Construction,recipe_3,48.79,1.56,3.39,4.59
7.91,1407,184,339,56,35,1,Washing,recipe_3,36.61,1.24,4.19,4.57
5.26,528,75,53,320,16,1,Industrial,recipe_3,39.63,1.75,3.5,3.97
5.05,2921,6,184,45,22,0,Irrigation,recipe_3,45.74,1.38,3.97,4.55
6.58,2728,165,104,576,38,1,Industrial,recipe_3,47.8,1.57,4.26,4.56
7.1,2909,149,254,121,18,0,Industrial,recipe_3,36.26,1.23,4.66,3.85
6.0,2452,17,135,711,29,0,Washing,recipe_3,41.96,1.5,3.9,4.02
6.55,457,167,35,758,29,0,Cooling,recipe_3,46.5,1.58,3.41,3.82
7.12,600,160,149,43,25,0,Construction,recipe_2,29.37,0.95,2.77,0.0
6.33,1506,57,285,71,38,0,Construction,recipe_2,36.37,1.09,2.58,0.0
6.95,2339,190,330,201,26,0,Cooling,recipe_3,51.34,1.28,4.48,3.32
7.99,1582,29,43,768,38,1,Construction,recipe_3,45.44,1.36,3.56,3.62
6.72,398,173,299,323,22,0,Washing,recipe_3,49.6,1.65,4.74,3.32
5.17,1391,88,358,654,27,0,Construction,recipe_3,36.77,1.52,4.08,4.26
8.15,2251,24,380,592,28,0,Cooling,recipe_3,36.78,1.7,3.94,3.87
7.0,2760,23,392,570,15,0,Cooling,recipe_3,49.41,1.27,3.98,3.28
5.33,1382,174,89,617,35,0,Washing,recipe_3,52.21,1.75,4.08,4.16
8.17,841,13,70,756,15,1,Washing,recipe_3,52.05,1.42,3.61,3.81
8.0,1985,156,200,499,20,0,Industrial,recipe_3,53.9,1.71,3.94,3.9
6.68,357,38,52,705,24,1,Washing,recipe_3,41.57,1.78,3.25,3.96
7.13,1607,56,231,295,18,0,Irrigation,recipe_4,11.36,0.16,2.09,3.47
6.28,868,167,267,439,32,0,Irrigation,recipe_3,41.25,1.29,4.31,3.49
6.37,372,138,242,54,29,1,Construction,recipe_3,52.03,1.62,3.62,3.99
8.8,1221,161,397,109,32,1,Industrial,recipe_3,46.93,1.69,3.52,3.45
8.35,915,34,352,461,35,1,Construction,recipe_3,52.15,1.79,3.78,4.66
5.42,1738,154,78,55,24,0,Cooling,recipe_4,10.65,0.24,2.04,3.18
8.95,2157,145,365,287,17,1,Industrial,recipe_3,45.57,1.74,4.15,3.77
6.96,1350,60,325,427,28,1,Construction,recipe_3,36.11,1.79,3.54,4.34
5.83,1986,145,62,480,36,0,Industrial,recipe_3,45.2,1.53,3.84,4.41
6.84,929,152,317,275,18,1,Construction,recipe_3,37.59,1.27,3.21,3.77
8.95,2178,86,373,455,21,0,Construction,recipe_3,40.53,1.71,3.22,4.21
8.22,1744,39,139,241,39,0,Irrigation,recipe_4,9.52,0.22,1.77,2.85
5.08,963,173,140,787,37,1,Industrial,recipe_3,41.21,1.29,3.46,3.49
7.75,1821,59,390,152,30,0,Cooling,recipe_3,39.52,1.26,3.71,3.62
7.44,1911,154,27,689,28,1,Cooling,recipe_3,46.06,1.51,4.27,3.61
7.0,2745,21,332,655,18,1,Cooling,recipe_3,39.79,1.69,3.75,4.51
8.05,2939,101,84,778,28,0,Washing,recipe_3,46.18,1.29,4.01,4.4
6.64,1381,66,110,613,22,0,Cooling,recipe_3,38.23,1.69,3.72,4.43
8.29,2134,141,292,748,21,1,Industrial,recipe_3,49.32,1.71,4.49,3.73
7.3,2634,39,284,61,17,0,Construction,recipe_3,41.66,1.68,4.6,3.8
6.77,2481,73,85,233,32,0,Construction,recipe_2,40.09,0.91,3.01,0.0
5.63,2844,51,161,123,25,0,Construction,recipe_3,36.99,1.48,4.28,4.69
8.34,1726,57,361,688,20,1,Washing,recipe_3,41.95,1.68,3.84,4.11
7.31,2850,93,310,518,36,0,Irrigation,recipe_3,53.51,1.25,3.45,4.01
6.33,1950,107,226,647,16,1,Irrigation,recipe_3,53.32,1.57,3.82,3.28
7.09,1248,99,75,133,36,0,Industrial,recipe_2,30.24,1.06,2.55,0.0
6.83,693,39,381,693,33,1,Construction,recipe_3,48.26,1.4,3.69,4.74
8.89,1564,134,46,300,27,0,Washing,recipe_3,43.0,1.44,3.72,4.51
5.98,787,196,331,708,28,0,Construction,recipe_3,42.2,1.71,3.37,4.61
8.05,222,176,57,628,25,1,Construction,recipe_3,36.64,1.24,3.75,3.57
6.98,1629,167,187,210,17,0,Cooling,recipe_3,37.18,1.32,4.32,3.73
8.96,1432,21,261,721,34,1,Cooling,recipe_3,50.07,1.37,3.58,4.19
6.23,321,182,72,172,39,1,Construction,recipe_3,40.38,1.76,3.5,3.83
8.99,269,64,361,527,22,0,Cooling,recipe_3,47.68,1.68,4.47,4.15
5.04,2006,129,262,557,39,1,Construction,recipe_3,51.28,1.36,4.26,4.5
8.71,1546,153,325,607,27,0,Industrial,recipe_3,41.08,1.6,3.75,3.58
7.75,333,146,123,668,15,1,Irrigation,recipe_3,50.98,1.45,4.03,3.41
8.84,1813,119,337,284,34,1,Washing,recipe_3,52.89,1.57,3.88,3.39
6.46,911,64,165,36,25,1,Cooling,recipe_3,49.23,1.78,3.7,3.64
5.29,2056,14,367,736,17,1,Irrigation,recipe_3,39.29,1.66,4.76,4.7
7.06,2908,158,399,68,16,0,Industrial,recipe_3,45.2,1.7,4.14,4.65
6.34,1564,101,131,669,18,0,Irrigation,recipe_3,45.05,1.33,4.33,4.07
5.35,2822,84,229,286,20,1,Washing,recipe_3,47.54,1.32,4.8,3.84
5.69,1305,27,225,612,32,0,Industrial,recipe_3,44.83,1.34,4.45,3.38
5.98,2518,147,81,678,33,0,Irrigation,recipe_3,39.69,1.53,4.6,3.49
6.14,1641,188,208,750,21,0,Irrigation,recipe_3,44.61,1.73,3.39,3.53
7.76,546,2,41,485,24,1,Irrigation,recipe_3,51.39,1.73,3.74,3.25
7.96,1501,164,10,433,16,0,Construction,recipe_3,36.46,1.26,4.64,4.35
5.78,1685,81,83,464,28,1,Irrigation,recipe_3,42.47,1.73,4.61,4.64
5.97,1040,112,42,761,36,0,Washing,recipe_3,40.77,1.29,4.04,4.05
8.28,1818,197,175,45,17,0,Construction,recipe_3,49.02,1.71,3.96,4.27
5.81,2181,16,247,328,37,1,Washing,recipe_3,39.0,1.34,4.5,4.66
7.57,907,95,380,551,38,1,Washing,recipe_3,49.38,1.46,3.79,4.23
8.86,1814,106,187,246,39,1,Irrigation,recipe_3,41.69,1.69,4.6,3.99
8.37,672,159,357,456,26,0,Industrial,recipe_3,38.72,1.37,3.96,4.8
6.47,1931,2,148,348,35,0,Cooling,recipe_2,32.37,0.88,2.63,0.0
8.89,1909,110,40,247,32,0,Washing,recipe_3,43.86,1.6,4.06,4.22
8.24,2565,22,351,122,39,0,Industrial,recipe_3,37.66,1.23,3.36,3.36
8.32,1139,17,393,191,34,0,Industrial,recipe_3,44.07,1.6,3.36,3.27
8.81,2838,104,136,360,26,1,Construction,recipe_3,48.9,1.24,4.07,3.95
6.3,2221,3,260,189,38,1,Irrigation,recipe_3,52.14,1.33,4.18,3.65
6.4,1600,63,18,217,19,1,Cooling,recipe_3,44.6,1.28,3.37,3.95
5.37,2825,156,329,299,25,0,Irrigation,recipe_3,52.44,1.51,4.56,4.11
6.81,2304,200,16,253,24,1,Irrigation,recipe_3,38.69,1.42,3.95,4.64
5.65,2349,143,159,791,26,1,Cooling,recipe_3,44.44,1.53,3.44,3.94
7.35,582,60,121,510,32,0,Irrigation,recipe_4,9.71,0.2,1.98,2.73
5.22,746,109,11,480,26,0,Construction,recipe_2,28.19,1.15,3.42,0.0
5.18,1913,19,368,560,28,1,Construction,recipe_3,42.91,1.8,4.54,4.28
6.32,380,169,171,211,38,1,Washing,recipe_3,48.17,1.36,3.44,4.0
5.1,1639,39,94,463,35,1,Industrial,recipe_3,43.74,1.4,3.98,3.4
6.25,823,129,123,586,39,0,Washing,recipe_3,44.13,1.34,4.65,3.56
7.71,1344,41,109,216,28,0,Irrigation,recipe_4,8.02,0.24,2.06,3.52
6.18,1312,50,215,622,33,0,Irrigation,recipe_3,41.62,1.21,4.24,4.8
8.57,1702,39,268,289,21,0,Cooling,recipe_3,49.16,1.28,3.48,4.04
7.38,493,72,398,496,16,0,Construction,recipe_3,45.2,1.6,3.78,4.18
7.35,1584,9,229,437,39,1,Washing,recipe_3,43.76,1.76,3.51,3.5
8.1,2035,180,165,377,37,1,Irrigation,recipe_3,38.89,1.53,4.1,4.47
8.98,386,195,131,710,16,1,Cooling,recipe_3,45.26,1.58,3.59,3.72
8.47,2952,58,102,240,26,1,Construction,recipe_3,43.44,1.64,3.79,4.69
8.76,2861,192,277,287,21,1,Industrial,recipe_3,43.52,1.74,3.72,3.73
7.41,1644,40,183,719,24,0,Industrial,recipe_3,39.16,1.22,3.47,4.74
5.51,1943,32,201,435,22,1,Cooling,recipe_3,49.53,1.35,4.6,4.76
6.33,1250,165,376,32,30,0,Construction,recipe_3,39.23,1.53,4.67,4.07
5.11,2524,105,136,417,29,0,Washing,recipe_3,36.51,1.52,3.5,3.87
7.26,2039,172,149,293,38,1,Irrigation,recipe_3,36.83,1.51,3.7,4.25
6.12,1724,100,328,345,17,1,Industrial,recipe_3,46.87,1.37,4.57,3.4
6.8,2538,147,158,409,16,1,Irrigation,recipe_3,41.0,1.57,4.35,4.13
8.3,1854,193,40,743,25,1,Industrial,recipe_3,49.6,1.57,4.13,4.18
5.58,1760,58,62,130,16,0,Irrigation,recipe_4,9.74,0.23,1.68,2.67
5.48,973,165,309,33,37,1,Cooling,recipe_3,38.56,1.53,4.72,4.51
8.23,2352,179,245,348,34,0,Construction,recipe_3,43.79,1.24,3.32,4.62
6.19,1186,156,366,779,40,1,Washing,recipe_3,49.51,1.71,4.37,4.71
6.59,2171,152,331,583,15,1,Industrial,recipe_3,49.75,1.43,4.32,3.45
8.43,2479,68,25,31,34,0,Industrial,recipe_2,38.95,1.06,3.45,0.0
6.82,2609,91,257,458,36,0,Industrial,recipe_3,53.21,1.62,4.21,4.51
5.72,2260,192,33,305,24,0,Washing,recipe_3,42.14,1.48,4.39,3.31
5.85,2299,56,22,466,38,0,Industrial,recipe_3,38.61,1.53,3.59,3.37
5.09,2787,87,225,138,26,0,Construction,recipe_3,53.95,1.52,4.0,4.75
7.14,2671,27,37,728,35,1,Construction,recipe_3,50.56,1.76,4.33,3.76
6.35,1607,141,104,544,28,1,Washing,recipe_3,41.76,1.3,4.71,4.64
5.36,2293,167,10,725,15,1,Cooling,recipe_3,37.82,1.39,3.25,4.64
5.76,2910,73,143,393,16,0,Cooling,recipe_3,46.93,1.64,4.29,4.13
5.34,858,112,304,565,19,0,Irrigation,recipe_3,38.56,1.73,3.63,3.99
6.38,1556,55,60,108,20,1,Washing,recipe_3,46.69,1.65,4.16,4.44
7.83,2492,34,300,624,19,0,Washing,recipe_3,53.32,1.54,3.77,4.47
8.81,372,170,87,38,30,1,Construction,recipe_3,44.99,1.32,4.55,3.6
6.43,2827,102,24,498,38,0,Irrigation,recipe_3,38.69,1.26,3.36,3.24
7.04,511,173,257,710,28,1,Industrial,recipe_3,39.48,1.21,4.18,3.9
8.04,425,163,358,747,22,0,Construction,recipe_3,49.32,1.72,3.95,3.7
7.03,537,125,331,86,21,0,Washing,recipe_4,8.42,0.23,1.6,3.28
8.52,904,11,246,30,15,0,Construction,recipe_2,40.43,1.17,3.32,0.0
6.12,1075,92,277,418,39,0,Irrigation,recipe_3,45.17,1.37,3.65,4.41
7.04,2456,190,121,117,28,1,Washing,recipe_3,50.06,1.54,4.14,4.57
7.4,1335,83,393,452,17,1,Irrigation,recipe_3,53.74,1.43,3.3,3.97
5.7,2276,163,147,593,37,1,Washing,recipe_3,40.28,1.69,3.58,4.32
8.85,1980,180,80,173,18,1,Washing,recipe_3,44.37,1.33,4.41,3.99
6.86,2063,182,137,223,23,1,Irrigation,recipe_3,47.1,1.34,4.05,3.74
8.15,1161,24,20,30,28,1,Cooling,recipe_4,10.12,0.18,1.66,2.46
8.63,1239,16,314,531,18,0,Washing,recipe_3,49.07,1.23,4.13,3.76
5.63,2400,10,272,466,40,1,Irrigation,recipe_3,46.51,1.29,3.6,3.77
5.92,2772,120,15,161,20,0,Irrigation,recipe_3,50.54,1.64,3.36,4.06
6.19,1885,59,148,486,18,1,Industrial,recipe_3,39.74,1.37,4.19,4.06
6.37,238,14,262,598,38,1,Cooling,recipe_3,41.27,1.26,4.55,4.02
6.15,2868,97,175,375,28,1,Construction,recipe_3,41.57,1.57,3.96,4.48
7.21,1199,191,87,408,34,0,Industrial,recipe_3,42.71,1.39,4.34,3.36
5.34,986,73,384,470,20,0,Industrial,recipe_3,36.13,1.49,4.24,3.71
5.09,1295,162,56,144,30,0,Cooling,recipe_3,40.2,1.62,4.4,4.59
6.85,2943,94,265,472,37,0,Irrigation,recipe_3,45.71,1.5,4.36,4.53
5.07,643,62,381,382,15,1,Cooling,recipe_3,50.0,1.75,4.46,3.92
8.88,2761,118,206,616,33,0,Construction,recipe_3,42.36,1.6,4.37,3.27
7.85,2654,53,137,161,16,0,Construction,recipe_3,42.12,1.73,3.94,4.2
7.75,724,138,95,264,28,0,Irrigation,recipe_4,10.44,0.21,1.9,2.97
8.95,1649,193,218,440,16,0,Irrigation,recipe_3,48.64,1.8,4.23,4.02
5.06,2787,150,227,514,35,1,Construction,recipe_3,51.36,1.55,4.3,4.77
6.73,1175,135,362,487,27,1,Industrial,recipe_3,40.7,1.29,4.73,3.7
5.15,936,185,164,423,36,0,Construction,recipe_3,38.91,1.47,3.92,3.25
8.28,1308,130,228,556,15,0,Construction,recipe_3,47.22,1.22,3.44,4.44
8.73,2488,34,85,95,18,1,Cooling,recipe_3,49.77,1.26,3.42,4.63
